Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
cntRHStorageArmor,blocks,Block,New,Armor Storage Box,,,,,
cntRHStorageWeapons2,blocks,Block,New,Weapon Storage Box,,,,,
cntRHStorageClothes2,blocks,Block,New,Clothing Storage Box,,,,,
cntRHStorageBooks,blocks,Block,KgNone,Book Storage Box,,,,,
cntRHStorageClothes,blocks,Block,KgNone,Clothing Storage Box,,,,,
cntRHStorageDrinks,blocks,Block,KgNone,Drink Storage Box,,,,,
cntRHStorageFarming,blocks,Block,KgNone,Farming Storage Box,,,,,
cntRHStorageFood,blocks,Block,KgNone,Food Storage Box,,,,,
cntRHStorageFuel,blocks,Block,KgNone,Fuel Storage Box,,,,,
cntRHStorageCarParts,blocks,Block,KgNone,Vehicle Storage Box,,,,,
cntRHStorageMods,blocks,Block,KgNone,Mod Storage Box,,,,,
cntRHStorageJunk,blocks,Block,KgNone,Junk Storage Box,,,,,
cntRHStorageMining,blocks,Block,KgNone,Mining Storage Box,,,,,
cntRHStorageParts,blocks,Block,KgNone,Parts Storage Box,,,,,
cntRHStorageSchematics,blocks,Block,KgNone,Schematic Storage Box,,,,,
cntRHStorageSell,blocks,Block,KgNone,Trader Storage Box,,,,,
